livro, codigo,localidade
ADMINISTRAÇÃO,BR 21-0421,JARDIM ELIANE
ADMINISTRAÇÃO,BR 21-0171,JARDIM DOS VELEIROS
ADMINISTRAÇÃO,BR 21-0172,CASA GRANDE
ADMINISTRAÇÃO,BR 21-0177,FAZENDA DO SCHUNK
ADMINISTRAÇÃO,BR 21-0178,INTERLAGOS
ADMINISTRAÇÃO,BR 21-0182,JARDIM DOS ÁLAMOS
ADMINISTRAÇÃO,BR 21-0183,JARDIM GUANHEMBU
ADMINISTRAÇÃO,BR 21-0184,JARDIM IPORANGA
ADMINISTRAÇÃO,BR 21-0190,JARDIM LALO
ADMINISTRAÇÃO,BR 21-0201,VILA ESPERANÇA
ADMINISTRAÇÃO,BR 21-0171,JARDIM DOS VELEIROS
ADMINISTRAÇÃO,BR 21-0204,VILA SÃO JOSÉ
ADMINISTRAÇÃO,BR 21-0504,JARDIM DAS LARANJEIRAS
ADMINISTRAÇÃO,BR 21-0528,PARQUE FLORESTAL
ADMINISTRAÇÃO,BR 21-0758,RECANTO DOS NOBRES
ADMINISTRAÇÃO,BR 21-0179,ITAIM
ADMINISTRAÇÃO,BR 21-0180,CHÁCARA MARIETA
ADMINISTRAÇÃO,BR 21-0188,JARDIM TRÊS CORAÇÕES
ADMINISTRAÇÃO,BR 21-0196,PARQUE GRAJAÚ
ADMINISTRAÇÃO,BR 21-0388,JARDIM SÃO BERNARDO
ADMINISTRAÇÃO,BR 21-0523,JARDIM MARILDA
ADMINISTRAÇÃO,BR 21-0524,JARDIM SÃO RAFAEL
ADMINISTRAÇÃO,BR 21-0525,JARDIM SANTA BÁRBARA
ADMINISTRAÇÃO,BR 21-0527,JARDIM LUCÉLIA
ADMINISTRAÇÃO,BR 21-0622,PARQUE RESIDENCIAL COCAIA
ADMINISTRAÇÃO,BR 21-0626,CHÁCARAS SANTO AMARO
ADMINISTRAÇÃO,BR 21-1055,JARDIM SETE DE SETEMBRO
ADMINISTRAÇÃO,BR 21-0195,PARELHEIROS
ADMINISTRAÇÃO,BR 21-1155,JARDIM DAS FONTES
ADMINISTRAÇÃO,BR 21-0165,EMBURA
ADMINISTRAÇÃO,BR 21-0614,ESTAÇÃO EVANGELISTA DE SOUZA
ADMINISTRAÇÃO,BR 21-0669,PONTE SECA
ADMINISTRAÇÃO,BR 21-0689,VARGEM GRANDE
ADMINISTRAÇÃO,BR 21-0768,CIDADE NOVA AMÉRICA
ADMINISTRAÇÃO,BR 21-0861,VILA ROSCHEL
ADMINISTRAÇÃO,BR 21-0931,RECANTO ANA MARIA
ADMINISTRAÇÃO,BR 21-0627,JARDIM SÃO NORBERTO
ADMINISTRAÇÃO,BR 21-0176,ENGENHEIRO MARSILAC
ADMINISTRAÇÃO,BR 21-0167,BARRAGEM
ADMINISTRAÇÃO,BR 21-1208,ILHA DO BORORÉ
ADMINISTRAÇÃO,BR 21-0175,COLÔNIA PAULISTA
ÁREA DA SAÚDE,BR 21-0180,CHÁCARA MARIETA
BRIGADA DE INCÊNDIO,BR 21-0167,BARRAGEM
BRIGADA DE INCÊNDIO,BR 21-0172,CASA GRANDE
BRIGADA DE INCÊNDIO,BR 21-0180,CHÁCARA MARIETA
BRIGADA DE INCÊNDIO,BR 21-0626,CHÁCARAS SANTO AMARO
BRIGADA DE INCÊNDIO,BR 21-0768,CIDADE NOVA AMÉRICA
